workflow	level	sample_id	level_count
MetaflowX	genus	HMP_sample_0	23
MetaflowX	genus	HMP_sample_1	24
MetaflowX	genus	HMP_sample_2	17
MetaflowX	genus	HMP_sample_3	30
MetaflowX	genus	HMP_sample_4	30
MetaflowX	genus	HMP_sample_5	15
MetaflowX	genus	HMP_sample_6	28
MetaflowX	genus	HMP_sample_7	11
MetaflowX	genus	HMP_sample_8	14
MetaflowX	genus	HMP_sample_9	27
MetaflowX	genus	MG_sample_0	14
MetaflowX	genus	MG_sample_1	20
MetaflowX	genus	MG_sample_10	26
MetaflowX	genus	MG_sample_11	30
MetaflowX	genus	MG_sample_2	24
MetaflowX	genus	MG_sample_5	24
MetaflowX	genus	MG_sample_6	23
MetaflowX	genus	MG_sample_7	21
MetaflowX	genus	MG_sample_8	13
MetaflowX	genus	MG_sample_9	17
MetaflowX	genus	Plant_sample_0	20
MetaflowX	genus	Plant_sample_1	21
MetaflowX	genus	Plant_sample_2	19
MetaflowX	genus	Plant_sample_3	18
MetaflowX	genus	Plant_sample_4	20
MetaflowX	genus	Plant_sample_5	18
MetaflowX	genus	Plant_sample_6	14
MetaflowX	genus	Plant_sample_7	13
MetaflowX	genus	Plant_sample_8	10
MetaflowX	genus	Plant_sample_9	11
MetaflowX	genus	marine_sample_0	49
MetaflowX	genus	marine_sample_1	61
MetaflowX	genus	marine_sample_2	60
MetaflowX	genus	marine_sample_3	60
MetaflowX	genus	marine_sample_4	52
MetaflowX	genus	marine_sample_5	54
MetaflowX	genus	marine_sample_6	61
MetaflowX	genus	marine_sample_7	57
MetaflowX	genus	marine_sample_8	49
MetaflowX	genus	marine_sample_9	58
nf-mag	genus	HMP_sample_0	19
nf-mag	genus	HMP_sample_1	25
nf-mag	genus	HMP_sample_2	17
nf-mag	genus	HMP_sample_3	29
nf-mag	genus	HMP_sample_4	28
nf-mag	genus	HMP_sample_5	15
nf-mag	genus	HMP_sample_6	26
nf-mag	genus	HMP_sample_7	8
nf-mag	genus	HMP_sample_8	13
nf-mag	genus	HMP_sample_9	23
nf-mag	genus	MG_sample_0	14
nf-mag	genus	MG_sample_1	19
nf-mag	genus	MG_sample_10	24
nf-mag	genus	MG_sample_11	31
nf-mag	genus	MG_sample_2	21
nf-mag	genus	MG_sample_5	23
nf-mag	genus	MG_sample_6	24
nf-mag	genus	MG_sample_7	20
nf-mag	genus	MG_sample_8	12
nf-mag	genus	MG_sample_9	18
nf-mag	genus	Plant_sample_0	21
nf-mag	genus	Plant_sample_1	21
nf-mag	genus	Plant_sample_2	19
nf-mag	genus	Plant_sample_3	18
nf-mag	genus	Plant_sample_4	21
nf-mag	genus	Plant_sample_5	19
nf-mag	genus	Plant_sample_6	13
nf-mag	genus	Plant_sample_7	13
nf-mag	genus	Plant_sample_8	9
nf-mag	genus	Plant_sample_9	12
nf-mag	genus	marine_sample_0	47
nf-mag	genus	marine_sample_1	61
nf-mag	genus	marine_sample_2	62
nf-mag	genus	marine_sample_3	58
nf-mag	genus	marine_sample_4	55
nf-mag	genus	marine_sample_5	51
nf-mag	genus	marine_sample_6	63
nf-mag	genus	marine_sample_7	55
nf-mag	genus	marine_sample_8	52
nf-mag	genus	marine_sample_9	57
MetaWRAP	genus	HMP_sample_0	16
MetaWRAP	genus	HMP_sample_1	18
MetaWRAP	genus	HMP_sample_2	11
MetaWRAP	genus	HMP_sample_3	23
MetaWRAP	genus	HMP_sample_4	23
MetaWRAP	genus	HMP_sample_5	13
MetaWRAP	genus	HMP_sample_6	19
MetaWRAP	genus	HMP_sample_7	9
MetaWRAP	genus	HMP_sample_8	12
MetaWRAP	genus	HMP_sample_9	20
MetaWRAP	genus	MG_sample_0	14
MetaWRAP	genus	MG_sample_1	20
MetaWRAP	genus	MG_sample_10	26
MetaWRAP	genus	MG_sample_11	28
MetaWRAP	genus	MG_sample_2	24
MetaWRAP	genus	MG_sample_5	24
MetaWRAP	genus	MG_sample_6	22
MetaWRAP	genus	MG_sample_7	20
MetaWRAP	genus	MG_sample_8	12
MetaWRAP	genus	MG_sample_9	16
MetaWRAP	genus	Plant_sample_0	16
MetaWRAP	genus	Plant_sample_1	20
MetaWRAP	genus	Plant_sample_2	17
MetaWRAP	genus	Plant_sample_3	16
MetaWRAP	genus	Plant_sample_4	18
MetaWRAP	genus	Plant_sample_5	16
MetaWRAP	genus	Plant_sample_6	13
MetaWRAP	genus	Plant_sample_7	9
MetaWRAP	genus	Plant_sample_8	10
MetaWRAP	genus	Plant_sample_9	9
MetaWRAP	genus	marine_sample_0	45
MetaWRAP	genus	marine_sample_1	50
MetaWRAP	genus	marine_sample_2	55
MetaWRAP	genus	marine_sample_3	52
MetaWRAP	genus	marine_sample_4	48
MetaWRAP	genus	marine_sample_5	52
MetaWRAP	genus	marine_sample_6	55
MetaWRAP	genus	marine_sample_7	50
MetaWRAP	genus	marine_sample_8	46
MetaWRAP	genus	marine_sample_9	53
